unitid,b011,b012,b013,b014,b021,b022,b023,b024,b031,b032,b033,b034,b041,b042,b043,b044,b061,b062,b063,b064,b071,b072,b073,b074,b081,b082,b083,b084,b091,b092,b093,b101,b102,b103,b111,b112,b113,b121,b122,b123,b131,b132,b133,b161,b162,b163,b191,b192,b193,b221,b222,b223,b234,b244,b254,b264,b274,bline05,bline14,bline15,bline17,bline18,bline20,bline21,"xb011","xb012","xb013","xb014","xb021","xb022","xb023","xb024","xb031","xb032","xb033","xb034","xb041","xb042","xb043","xb044","xb061","xb062","xb063","xb064","xb071","xb072","xb073","xb074","xb081","xb082","xb083","xb084","xb091","xb092","xb093","xb101","xb102","xb103","xb111","xb112","xb113","xb121","xb122","xb123","xb131","xb132","xb133","xb161","xb162","xb163","xb191","xb192","xb193","xb221","xb222","xb223","xb234","xb244","xb254","xb264","xb274","xbline05","xbline14","xbline15","xbline17","xbline18","xbline20","xbline21"
"232423","36362501","1101744","37464245","27488217","245948","687812","933760","473483","285849","1045213","1331062","719196","7641244","150771","7792015","3805666","2925916","99351","3025267","1855100","5843175","51840","5895015","3973831","6103249","21948","6125197","1804629","156699","4039866","4196565","210459","0","210459","","","","59775040","7198545","66973585","48795853","0","48795853","","","","","","","108570893","7198545","115769438","40120122","9493931","","","49614053","2932687","4361987","882490","","","","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,31,31,31,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,10,10,31,31,31,31
"232450","5629722","283835","5913557","4113071","","","","","7629","0","7629","7000","1047643","0","1047643","650490","614476","32124","646600","466281","1793369","0","1793369","977752","1089172","0","1089172","330731","21282","1477788","1499070","5556","0","5556","3559","0","3559","10212408","1793747","12006155","177091","0","177091","","","","","","","10389499","1793747","12183246","6545325","1273800","","","7819125","331965","","","","","","",10,10,10,10,31,31,31,31,10,31,10,10,10,31,10,10,10,10,10,10,10,31,10,10,10,31,10,10,10,10,10,10,31,10,10,31,10,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"232469","1297270","0","1297270","549993","","","","","","","","","56841","0","56841","53000","244542","0","244542","100684","","","","","230613","0","230613","","385144","206759","591903","","","","","","","2214410","206759","2421169","137512","0","137512","","","","","","","2351922","206759","2558681","703677","117547","","","821224","3841","","","","","","",11,31,11,11,31,31,31,31,31,31,31,31,16,31,16,16,10,31,10,10,31,31,31,31,10,31,10,31,10,11,11,31,31,31,31,31,31,11,11,11,16,31,16,31,31,31,31,31,31,11,11,10,10,10,31,31,10,10,31,31,31,31,31,31
"232496","290042","0","290042","215558","","","","","","","","","90025","0","90025","","","","","","820765","0","820765","335600","220572","0","220572","5473","0","575818","575818","","","","","","","1421404","575818","1997222","","","","0","0","0","0","0","0","1421404","575818","1997222","556631","128206","0","0","684837","0","","","","","","",10,31,10,10,31,31,31,31,31,31,31,31,10,31,10,31,31,31,31,31,10,31,10,10,10,31,10,10,31,10,10,31,31,31,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31
"232502","320315","35590","355905","262658","0","0","0","0","0","0","0","0","107160","11907","119067","62034","273855","30428","304283","168268","487647","15082","502729","189026","259037","32016","291053","38710","4428","390495","394923","11642","1588","13230","0","0","0","1464084","517106","1981190","92608","0","92608","0","0","0","0","0","0","1556692","517106","2073798","720696","105244","307","436","826683","19051","0","0","","","","",,,10,21,,,,,,,,,,,,21,,,,21,,,,,,,,21,,,10,,,,,,,,,,,,,,,,,,,,,10,21,21,21,21,21,,,,,,,
"232511","385537","0","385537","308062","","","","","","","","","90026","0","90026","","","","","","1067400","0","1067400","349435","313147","0","313147","0","0","438322","438322","","","","","","","1856110","438322","2294432","","","","0","0","0","0","0","0","1856110","438322","2294432","657497","149650","0","0","807147","0","","","","","","",10,31,10,10,31,31,31,31,31,31,31,31,10,31,10,31,31,31,31,31,10,31,10,10,10,31,10,10,31,10,10,31,31,31,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31
"232557","8520629","0","8520629","7818002","","","","","","","","","635041","0","635041","349578","7239014","0","7239014","2916908","14149943","0","14149943","2322974","2649298","0","2649298","1127951","10991385","4483875","15475260","9623828","0","9623828","","","","53809138","4483875","58293013","7006777","0","7006777","","","","","","","60815915","4483875","65299790","14535413","1009437","","","15544850","505597","","","","","","",10,31,10,10,31,31,31,31,31,31,31,31,10,31,10,10,10,31,10,10,10,31,10,10,10,31,10,10,10,10,10,10,31,10,31,31,31,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"232566","9170962","262092","9433054","6910394","1000","70945","71945","27392","196969","334075","531044","311510","3077941","143235","3221176","1663511","1189157","72299","1261456","724150","2643690","141472","2785162","2187617","1980573","417","1980990","1287878","18977","2789323","2808300","0","0","0","0","0","0","18279269","3813858","22093127","14280081","202342","14482423","0","0","0","0","0","0","32559350","4016200","36575550","13112452","3100815","0","0","16213267","342293","2276655","0","0","0","0","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"232575","2673741","806050","3479791","2278371","","","","","3431","0","3431","","640683","0","640683","363348","376958","16974","393932","261087","1145548","0","1145548","614049","473217","0","473217","180684","32935","804896","837831","","","","18700","0","18700","5365213","1627920","6993133","54458","0","54458","","","","","","","5419671","1627920","7047591","3697539","776334","","","4473873","172082","","","","","","",10,10,10,10,31,31,31,31,10,31,10,31,10,31,10,10,10,10,10,10,10,31,10,10,10,31,10,10,10,10,10,31,31,31,10,31,10,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"232609","8649827","545286","9195113","6484621","0","0","0","0","50826","41241","92067","29249","1454117","120879","1574996","532293","2566182","133799","2699981","1110521","3510085","66304","3576389","2022660","1157778","566","1158344","823061","2983941","2066057","5049998","300866","0","300866","1624330","-71524","1552806","22297952","2902608","25200560","4995037","32582","5027619","0","0","0","0","0","0","27292989","2935190","30228179","11002405","2667004","0","0","13669409","622421","88938","0","","","","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31
