unitid,a011,a012,a013,a021,a022,a023,a041,a042,a043,a051,a052,a053,a061,a062,a063,a071,a072,a073,a081,a082,a083,a091,a092,a093,a101,a102,a103,a111,a112,a113,a121,a122,a123,a131,a132,a133,a141,a142,a143,a151,a152,a153,a161,a162,a163,part,aline03
"205966","2354986","","2354986","","","","2468421","","2468421","","","","","1072407","1072407","141526","873634","1015160","","","","9205","4367","13572","","","","","","","413298","","413298","","","","96157","","96157","","","","5483593","1950408","7434001","A",""
"206011","2518166","0","2518166","0","0","0","5208618","0","5208618","0","0","0","95988","1138618","1234606","0","652128","652128","0","","","","30604","30604","","","","34895","","34895","621365","","621365","","","","523951","12173","536124","","","","9002983","1833523","10836506","A","0"
"206048","4115279","0","4115279","0","0","0","0","0","0","0","0","0","0","459193","459193","0","549475","549475","0","0","0","67852","0","67852","0","0","0","0","0","0","1062635","0","1062635","0","0","0","108339","0","108339","0","0","0","5354105","1008668","6362773","A","0"
"206084","68148116","","68148116","","","","69630056","","69630056","","","","","10648440","10648440","161747","4092934","4254681","","253534","253534","226354","4023725","4250079","","","","144022","","144022","12558377","417033","12975410","","","","2379692","1437436","3817128","","","","153248364","20873102","174121466","A",""
"206215","491244","0","491244","","","","","","","","","","0","54041","54041","","","","","","","1459764","298319","1758083","369759","512625","882384","","","","425900","0","425900","","","","28630","10597","39227","","","","2775297","875582","3650879","A",""
"206279","8363845","","8363845","","","","","","","","","","","455877","455877","","22664","22664","","","","52875","89957","142832","","","","","","","","","","","","","38854","","38854","","","","8455574","568498","9024072","A",""
"206288","1053235","","1053235","","","","","","","","","","","","","","","","","48567","48567","1934347","40702","1975049","698439","","698439","","","","214441","","214441","","","","248618","","248618","","","","4149080","89269","4238349","A",""
"206330","5533677","0","5533677","","","","","","","","","","0","3087127","3087127","","","","","","","146993","97157","244150","33395","0","33395","","","","843213","0","843213","","","","39372","0","39372","","","","6596650","3184284","9780934","A",""
"206349","6395985","0","6395985","","","","","","","","","","","","","","","","","","","980993","156629","1137622","243918","0","243918","","","","882910","0","882910","","","","176623","0","176623","","","","8680429","156629","8837058","A",""
"206394","290940","407955","698895","","","","","","","","","","0","114718","114718","0","45240","45240","","","","","","","","","","","","","","","","","","","","","","","","","290940","567913","858853","A",""
"206437","6121308","0","6121308","","","","","","","","","","0","612343","612343","0","30812","30812","","","","467520","81576","549096","0","176933","176933","","","","1605032","0","1605032","","","","411769","11398","423167","","","","8605629","913062","9518691","A",""
"206446","1527268","0","1527268","0","0","0","2204087","245837","2449924","0","0","0","0","912171","912171","0","265463","265463","0","0","0","0","0","0","0","0","0","15048","0","15048","313279","0","313279","0","0","0","178180","0","178180","0","0","0","4237862","1423471","5661333","A","0"
"206473","255209","0","255209","","","","","","","","","","0","1238682","1238682","0","58600","58600","0","46440","46440","","","","","","","","","","","","","","","","5130","0","5130","","","","260339","1343722","1604061","A",""
"206491","4814432","0","4814432","0","0","0","","","","","","","135907","2868756","3004663","0","0","0","","","","1402600","358923","1761523","149114","44870","193984","","","","2234323","0","2234323","","","","107735","0","107735","","","","8844111","3272549","12116660","A",""
"206507","11211299","0","11211299","","","","","","","","","","0","2742929","2742929","0","44186","44186","","","","437557","460260","897817","80011","44809","124820","344555","0","344555","2679875","0","2679875","","","","","","","","","","14753297","3292184","18045481","A",""
"206516","115620","0","115620","","","","","","","","","","","","","","","","","","","524395","83611","608006","37554","19892","57446","","","","40657","0","40657","","","","0","0","0","","","","718226","103503","821729","A",""
"206525","28503830","0","28503830","0","0","0","0","0","0","0","0","0","0","1304078","1304078","0","895610","895610","0","0","0","1832843","213209","2046052","1441995","1206427","2648422","0","0","0","5959983","0","5959983","0","0","0","602214","448750","1050964","0","0","0","38340865","4068074","42408939","A",""
"206570","2545971","0","2545971","","","","","","","","","","0","2102895","2102895","","","","","","","","","","","","","","","","","","","","","","33011","0","33011","","","","2578982","2102895","4681877","A",""
"206589","23243593","395114","23638707","0","0","0","0","0","0","0","0","0","56112","1046575","1102687","0","690153","690153","0","0","0","1720428","917264","2637692","582274","2442356","3024630","0","0","0","11520953","24193","11545146","0","0","0","2132014","86224","2218238","0","0","0","39255374","5601879","44857253","A","0"
"206604","43073269","0","43073269","0","0","0","61190620","4446939","65637559","0","0","0","2082770","12117035","14199805","23415","2536965","2560380","5084","146917","152001","450052","3707216","4157268","58318","131493","189811","10098899","0","10098899","11761567","149783","11911350","0","0","0","2444200","0","2444200","0","0","0","131188194","23236348","154424542","A","0"
"206613","1482084","0","1482084","0","0","0","1517047","229324","1746371","0","0","0","0","84451","84451","0","11748","11748","0","0","0","0","30888","30888","0","0","0","14776","0","14776","254223","3234","257457","0","0","0","36471","0","36471","0","0","0","3304601","359645","3664246","A","0"
"206622","39402760","0","39402760","0","0","0","0","0","0","0","0","0","50408","1672557","1722965","0","1697429","1697429","0","0","0","2010429","1624440","3634869","385809","578710","964519","0","0","0","4768582","0","4768582","0","0","0","2896331","139784","3036115","0","0","0","49514319","5712920","55227239","A","0"
"206631","2702580","0","2702580","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92018","0","92018","","","","2794598","0","2794598","A",""
"206695","31615485","0","31615485","0","0","0","43596668","0","43596668","0","0","0","0","7416982","7416982","0","558893","558893","0","16548","16548","24669","3392471","3417140","0","146845","146845","138830","0","138830","6826295","20488","6846783","0","0","0","1860626","0","1860626","0","0","0","84062573","11552227","95614800","A","0"
"206817","1403134","0","1403134","0","0","0","0","0","0","0","0","0","0","1384313","1384313","0","0","0","0","0","0","684950","235729","920679","131517","177711","309228","0","0","0","685343","0","685343","0","0","0","106969","14778","121747","0","0","0","3011913","1812531","4824444","A","0"
"206835","2122754","0","2122754","0","0","0","0","0","0","0","0","0","0","518205","518205","0","0","0","0","0","0","893799","128241","1022040","955","168726","169681","0","0","0","827170","0","827170","0","0","0","57917","0","57917","44743","0","44743","3947338","815172","4762510","A","0"
"206862","6812413","0","6812413","","","","","","","","","","47958","901198","949156","0","44640","44640","","","","1468983","480720","1949703","","","","207777","0","207777","2647422","0","2647422","","","","203267","495370","698637","","","","11387820","1921928","13309748","A",""
"206914","4671031","0","4671031","","","","12184653","0","12184653","","","","","3659291","3659291","","","","","","","","290882","290882","","","","123276","","123276","4234030","","4234030","","","","","17636","17636","","","","21212990","3967809","25180799","A",""
"206923","495171","","495171","","","","3054610","","3054610","","","","44130","1678500","1722630","199446","300","199746","","","","","","","","","","1097","","1097","1545955","","1545955","","","","22140","","22140","","","","5362549","1678800","7041349","A",""
"206941","12169980","","12169980","","","","26468139","","26468139","","","","48696","3761889","3810585","1101917","59877","1161794","","","","","527090","527090","","","","132277","","132277","8409409","","8409409","","","","521325","","521325","","","","48851743","4348856","53200599","A",""
"206996","1336064","0","1336064","0","0","0","3601769","0","3601769","0","0","0","0","2166762","2166762","0","0","0","0","0","0","0","0","0","0","0","0","19143","0","19143","1740903","0","1740903","0","0","0","35853","0","35853","0","0","0","6733732","2166762","8900494","A",""
"207041","3468513","0","3468513","0","0","0","10850458","0","10850458","0","0","0","0","4721721","4721721","0","375968","375968","0","0","0","0","25000","25000","0","0","0","1297","0","1297","4039013","0","4039013","0","0","0","369206","0","369206","0","0","0","18728487","5122689","23851176","A","0"
"207050","705452","","705452","","","","4175375","","4175375","","","","0","1232230","1232230","","","","","","","","1503457","1503457","","","","113966","","113966","1995549","","1995549","","","","493945","14816","508761","","","","7484287","2750503","10234790","A",""
"207069","604582","0","604582","0","0","0","2427932","0","2427932","0","0","0","0","1429527","1429527","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","801944","0","801944","0","0","0","0","0","0","0","0","0","3834458","1429527","5263985","A",""
"207157","403326","0","403326","0","0","0","0","0","0","0","0","0","0","139560","139560","0","7909","7909","0","0","0","297546","27459","325005","13189","0","13189","15514","0","15514","264074","0","264074","0","0","0","78877","0","78877","0","0","0","1072526","174928","1247454","A","0"
"207209","3126064","0","3126064","5000","2440208","2445208","6802557","0","6802557","0","0","0","0","3840244","3840244","13718","46511","60229","0","130010","130010","0","79116","79116","52391","0","52391","0","0","0","3427452","0","3427452","0","0","0","189249","125370","314619","0","0","0","13616431","6661459","20277890","A","5000"
"207236","549135","","549135","","","","2947054","","2947054","","","","5529","1276873","1282402","","","","","","","","50104","50104","","1742","1742","49164","","49164","1203611","","1203611","","","","330465","","330465","","","","5084958","1328719","6413677","A",""
"207254","17265095","","17265095","","","","","","","","","","","1560877","1560877","","","","","","","","","","","","","","","","768598","","768598","","","","","","","","","","18033693","1560877","19594570","A",""
"207263","6639196","0","6639196","0","0","0","19235860","0","19235860","0","0","0","68679","6971878","7040557","1028390","425545","1453935","0","0","0","0","94276","94276","0","0","0","6605","0","6605","8908853","121674","9030527","0","0","0","148438","98903","247341","0","0","0","36036021","7712276","43748297","A",""
"207281","1031644","","1031644","","","","3493519","","3493519","","","","","843945","843945","","","","","","","","237066","237066","","","","","","","1142656","","1142656","","","","2732","","2732","","","","5670551","1081011","6751562","A",""
"207290","1688299","","1688299","0","275313","275313","6415993","","6415993","","","","0","1718271","1718271","","326643","326643","","","","","483168","483168","","","","35205","","35205","3713510","","3713510","","","","51235","","51235","","","","11904242","2803395","14707637","A",""
"207306","1630219","","1630219","","","","4900916","","4900916","","","","","1439608","1439608","","396217","396217","","","","","","","","","","9354","","9354","2225532","","2225532","","","","34024","69045","103069","","","","8800045","1904870","10704915","A",""
"207315","1909892","0","1909892","0","0","0","7501012","0","7501012","0","0","0","149899","1430172","1580071","11660","2098159","2109819","0","0","0","0","71623","71623","0","0","0","0","0","0","984124","0","984124","","0","0","134124","0","134124","","","","10690711","3599954","14290665","A",""
"207324","7272434","0","7272434","0","0","0","0","0","0","0","0","0","0","1278477","1278477","19420","0","19420","0","0","0","1289889","32206","1322095","1398585","0","1398585","59261","0","59261","3584152","0","3584152","0","0","0","1271527","0","1271527","879624","131276","1010900","15774892","1441959","17216851","A",""
"207333","5253667","0","5253667","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","","","0","0","0","","","","380","0","380","","","","5254047","0","5254047","A",""
"207342","6761666","","6761666","","","","53398557","","53398557","","","","2393157","9180988","11574145","35607","12419731","12455338","","","","1060905","9326819","10387724","","","","747491","5483890","6231381","9902688","","9902688","","","","2371706","","2371706","64448945","","64448945","141120722","36411428","177532150","A",""
"207351","1909156","213763","2122919","","","","4448120","276412","4724532","","","","","952506","952506","","","","","","","","","","","159737","159737","654025","","654025","1300729","","1300729","","","","","","","","","","8312030","1602418","9914448","A",""
"207388","29700620","0","29700620","10598143","0","10598143","116567507","0","116567507","0","0","0","1657481","16736104","18393585","1141732","10891103","12032835","0","0","0","1094771","12007624","13102395","0","0","0","2044474","0","2044474","48666840","0","48666840","","","","8295916","43063","8338979","","","","219767484","39677894","259445378","A","0"
