unitid,a011,a012,a013,a021,a022,a023,a041,a042,a043,a051,a052,a053,a061,a062,a063,a071,a072,a073,a081,a082,a083,a091,a092,a093,a101,a102,a103,a111,a112,a113,a121,a122,a123,a131,a132,a133,a141,a142,a143,a151,a152,a153,a161,a162,a163,aline03,"xa011","xa012","xa013","xa021","xa022","xa023","xa041","xa042","xa043","xa051","xa052","xa053","xa061","xa062","xa063","xa071","xa072","xa073","xa081","xa082","xa083","xa091","xa092","xa093","xa101","xa102","xa103","xa111","xa112","xa113","xa121","xa122","xa123","xa131","xa132","xa133","xa141","xa142","xa143","xa151","xa152","xa153","xa161","xa162","xa163","xaline03"
"190567","32582000","0","32582000","","","","67060000","8135000","75195000","0","688000","688000","0","11148000","11148000","0","8235000","8235000","0","92000","92000","268000","4986000","5254000","171000","556000","727000","","","","482000","0","482000","","","","1199000","1121000","2320000","","","","101762000","34961000","136723000","",10,10,10,31,31,31,10,11,11,10,10,10,10,10,10,10,11,11,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,18,18,31
"190576","7747000","0","7747000","","","","47725000","4531000","52256000","0","351000","351000","0","394000","394000","0","1088000","1088000","0","104000","104000","0","1451000","1451000","0","266000","266000","","","","","","","","","","1254000","0","1254000","","","","56726000","8185000","64911000","",10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,31,10,10,10,31,31,31,10,10,10,31
"190585","9987000","0","9987000","","","","9121000","631000","9752000","7537000","84000","7621000","0","8908000","8908000","0","5899000","5899000","0","2000","2000","0","8000","8000","0","86000","86000","","","","55000","0","55000","","","","228000","28000","256000","","","","26928000","15646000","42574000","",10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"190594","39254000","0","39254000","","","","59048000","8031000","67079000","7886000","647000","8533000","0","9716000","9716000","0","7278000","7278000","0","2000","2000","1394000","1240000","2634000","36000","476000","512000","0","59000","59000","1807000","0","1807000","","","","1928000","453000","2381000","","","","111353000","27902000","139255000","",10,10,10,31,31,31,10,11,11,10,10,10,10,10,10,10,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"190600","19369000","0","19369000","","","","18546000","3577000","22123000","1703000","282000","1985000","0","7864000","7864000","0","6536000","6536000","0","5000","5000","0","738000","738000","","","","","","","125000","0","125000","","","","1050000","354000","1404000","","","","40793000","19356000","60149000","",10,10,10,31,31,31,10,11,11,10,10,10,10,10,10,10,11,11,10,10,10,10,10,10,31,31,31,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"190619","23706000","0","23706000","","","","19842000","1357000","21199000","8372000","26000","8398000","0","9683000","9683000","0","7795000","7795000","","","","113000","136000","249000","","","","","","","578000","0","578000","","","","951000","0","951000","","","","53562000","18997000","72559000","",10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"190628","22107000","0","22107000","","","","19796000","2707000","22503000","10985000","119000","11104000","0","8632000","8632000","0","7828000","7828000","","","","48000","296000","344000","","","","","","","490000","0","490000","","","","1191000","0","1191000","","","","54617000","19582000","74199000","",10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"190637","21000000","0","21000000","","","","31270000","4129000","35399000","0","359000","359000","0","8521000","8521000","0","5614000","5614000","0","3000","3000","0","58000","58000","0","25000","25000","","","","50000","0","50000","","","","1542000","3000","1545000","","","","53862000","18712000","72574000","",10,10,10,31,31,31,10,11,11,10,10,10,10,10,10,10,11,11,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"190646","8434000","0","8434000","","","","5956000","1131000","7087000","7488000","119000","7607000","0","4971000","4971000","0","3688000","3688000","0","1000","1000","21000","283000","304000","","","","11000","0","11000","63000","0","63000","","","","302000","0","302000","","","","22275000","10193000","32468000","",10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"190655","21943000","0","21943000","","","","20347000","4473000","24820000","11400000","373000","11773000","28000","11544000","11572000","154000","7661000","7815000","141000","0","141000","0","3000","3000","","","","339000","0","339000","","","","","","","783000","341000","1124000","","","","55135000","24395000","79530000","",10,10,10,31,31,31,10,11,18,10,10,10,10,10,10,10,11,11,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,31,31,31,10,10,10,31,31,31,10,18,18,31
