unitid,a011,a012,a013,a021,a022,a023,a041,a042,a043,a051,a052,a053,a061,a062,a063,a071,a072,a073,a081,a082,a083,a091,a092,a093,a101,a102,a103,a111,a112,a113,a121,a122,a123,a131,a132,a133,a141,a142,a143,a151,a152,a153,a161,a162,a163,part,aline03,"xa011","xa012","xa013","xa021","xa022","xa023","xa041","xa042","xa043","xa051","xa052","xa053","xa061","xa062","xa063","xa071","xa072","xa073","xa081","xa082","xa083","xa091","xa092","xa093","xa101","xa102","xa103","xa111","xa112","xa113","xa121","xa122","xa123","xa131","xa132","xa133","xa141","xa142","xa143","xa151","xa152","xa153","xa161","xa162","xa163","xaline03"
"171100","187643377","0","187643377","50000","0","50000","232504607","44220834","276725441","0","0","0","18150645","97754744","115905389","441327","12442029","12883356","7144","2465128","2472272","3846928","48169663","52016591","443672","3688485","4132157","54829813","0","54829813","151398599","0","151398599","0","0","0","10426794","690783","11117577","0","0","0","659742906","209431666","869174572","A","0",10,31,10,10,31,10,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"171128","27885000","0","27885000","0","0","0","39777000","1083000","40860000","0","0","0","2700000","10143000","12843000","747000","2418000","3165000","0","0","0","2070000","4411000","6481000","0","0","0","4621000","171000","4792000","16630000","0","16630000","0","0","0","647000","0","647000","0","0","0","95077000","18226000","113303000","A","0",10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,11,11,11,31,31,31,10,10,10,10,10,10,31,31,31,10,31,18,31,31,31,11,18,18,31
"171137","22973926","0","22973926","7975","0","7975","18527836","0","18527836","0","0","0","160894","2531555","2692449","889","187485","188374","17503","70056","87559","80611","1060653","1141264","0","77536","77536","2891676","80726","2972402","2387739","0","2387739","0","0","0","403096","56","403152","0","0","0","47452145","4008067","51460212","A","0",10,31,10,10,31,10,10,31,10,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,11,16,11,10,31,18,31,31,10,11,11,11,31,31,10,10,10,18,10
"171146","16520973","0","16520973","12232","0","12232","16677320","0","16677320","0","0","0","41232","2441110","2482342","0","323709","323709","1966","11449","13415","23047","1477090","1500137","0","294504","294504","1407571","185267","1592838","1581358","0","1581358","0","0","0","192394","5159","197553","0","0","0","36458093","4738288","41196381","A","0",10,31,10,10,31,10,10,31,10,31,31,10,10,10,10,31,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,31,10,31,31,10,10,10,10,31,31,10,10,10,10,10
"171155","2687652","0","2687652","0","0","0","2830300","0","2830300","1114736","0","1114736","16800","1997459","2014259","0","352032","352032","0","0","0","200","34201","34401","0","0","0","30993","171332","202325","860879","0","860879","0","0","0","140655","27721","168376","0","0","0","7682215","2582745","10264960","A","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"171225","2698031","0","2698031","0","0","0","2644900","0","2644900","7830308","0","7830308","16700","1306200","1322900","0","365529","365529","0","0","0","16262","36896","53158","6746","5836","12582","0","0","0","1055661","0","1055661","0","0","0","230293","28593","258886","0","0","0","14498901","1743054","16241955","A","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"171234","1683480","0","1683480","0","0","0","2426200","0","2426200","1469388","0","1469388","17435","1579454","1596889","450492","193758","644250","52087","0","52087","46508","103270","149778","0","966","966","0","0","0","56026","0","56026","0","0","0","85410","58031","143441","508201","0","508201","6795227","1935479","8730706","A","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,31,11,10,11,10,10,10,11,11,11,11,10,11,10,11,11,10
"171304","4018103","0","4018103","0","0","0","6818400","0","6818400","4800338","0","4800338","4689","2476279","2480968","0","643058","643058","0","0","0","250","29393","29643","0","0","0","0","0","0","1474016","0","1474016","0","0","0","164677","0","164677","0","0","0","17280473","3148730","20429203","A","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,31,10,10,10,10,11,11,11,10
"171395","1759320","275300","2034620","0","0","0","2164400","0","2164400","1295225","0","1295225","0","1382376","1382376","0","295004","295004","0","0","0","2485","93021","95506","0","24450","24450","0","0","0","936727","0","936727","0","0","0","133197","15040","148237","0","0","0","6291354","2085191","8376545","A","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,11,10,10,10,10,10,10,10,10,10,11,10,11,10
"171456","19262623","0","19262623","0","0","0","39971586","0","39971586","0","0","0","258530","5778077","6036607","0","2880209","2880209","0","0","0","180704","3856410","4037114","304933","80974","385907","3731450","382523","4113973","13168353","0","13168353","0","0","0","274739","4622","279361","0","0","0","77152918","12982815","90135733","A","0",10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
