unitid,b011,b012,b013,b014,b021,b022,b023,b024,b031,b032,b033,b034,b041,b042,b043,b044,b061,b062,b063,b064,b071,b072,b073,b074,b081,b082,b083,b084,b091,b092,b093,b101,b102,b103,b111,b112,b113,b121,b122,b123,b131,b132,b133,b161,b162,b163,b191,b192,b193,b221,b222,b223,b235,b245,b255,b265,b275,bline05,bline14,bline15,bline17,bline20,bline21,bline18,part
"199795","1575428","36652","1612080","1063064","","","","","","","","","116195","117","116312","80977","232082","0","232082","170187","502780","30037","532817","324275","200755","0","200755","19031","0","280952","280952","","","","","","","2627240","347758","2974998","50","0","50","","","","","","","2627290","347758","2975048","1657534","376231","","","2033765","84308","","","","","","","B"
"199838","4387049","499729","4886778","3213201","","","","","86168","0","86168","65464","721133","0","721133","469812","531359","0","531359","386823","1033418","35961","1069379","572974","1004415","0","1004415","256753","29310","507444","536754","0","0","0","0","0","0","7792852","1043134","8835986","450214","0","450214","","","","","","","8243066","1043134","9286200","4965027","64984","","1112501","6142512","179827","11188","104590","","","","","B"
"199847","141062615","8450033","149512648","82641427","88158","35612327","35700485","16231041","0","4526298","4526298","2508489","9760762","1551523","11312285","3463511","4690574","126766","4817340","2451239","16754188","207425","16961613","10299384","11731272","2750","11734022","4182164","6813846","3727052","10540898","53558","0","53558","12487471","0","12487471","203442444","54204174","257646618","24311644","139817","24451461","14881193","0","14881193","","","","242635281","54343991","296979272","121777255","14724204","7145292","","143646751","6528496","","2564378","","","","","B"
"199856","9561581","276545","9838126","7657766","","","","","26606","0","26606","20742","2300117","3474","2303591","1742858","1509218","91006","1600224","1090390","2574397","17193","2591590","1417332","1807860","0","1807860","525846","0","307260","307260","0","0","0","","","","17779779","695478","18475257","41385","0","41385","","","","","","","17821164","695478","18516642","12454934","2555603","","","15010537","513322","","","","","","","B"
"199865","1696433","296049","1992482","1240166","","","","","143485","68331","211816","13650","385865","83537","469402","122251","830376","104344","934720","280480","1445086","50997","1496083","429303","1297437","173388","1470825","162464","174256","1115443","1289699","9011","4238","13249","280315","23752","304067","6262264","1920079","8182343","895896","31442","927338","","","","","","","7158160","1951521","9109681","2248314","665516","","","2913830","245482","","","","","","","B"
"199892","4660084","410493","5070577","3877214","","","","","78340","0","78340","69807","1184942","0","1184942","908055","769310","147986","917296","665308","1078661","127317","1205978","484194","1038806","122","1038928","451240","1613","576315","577928","0","56","56","","","","8811756","1262289","10074045","796856","0","796856","","","","","","","9608612","1262289","10870901","6455818","1344217","","0","7800035","422750","","","","","","","B"
"199908","4696984","271225","4968209","3575237","","","","","109323","0","109323","71467","1011378","0","1011378","740582","483123","0","483123","343389","1593940","151627","1745567","780881","742685","0","742685","272847","0","493106","493106","","","","","","","8637433","915958","9553391","536598","0","536598","","","","","","","9174031","915958","10089989","5784403","1128707","","","6913110","260518","","","","","","","B"
"199926","5361998","395789","5757787","4186272","","","","","","","","","799782","0","799782","600514","666162","1581","667743","431180","813793","36136","849929","373227","877614","106179","983793","389153","0","497712","497712","0","15538","15538","-15538","0","-15538","8503811","1052935","9556746","650649","0","650649","","","","","","","9154460","1052935","10207395","5980346","1321270","","","7301616","229218","","","","","","","B"
"199953","2770665","133238","2903903","2217378","","","","","173378","0","173378","127516","847733","0","847733","635867","397874","38788","436662","305110","1074149","0","1074149","689527","582603","0","582603","229373","0","367680","367680","","","","","","","5846402","539706","6386108","343759","0","343759","","","","","","","6190161","539706","6729867","4204771","888428","","","5093199","199729","","","","","","","B"
"199962","3914408","37727","3952135","2634283","","","","","","","","","764267","0","764267","151232","1833165","308260","2141425","647524","1649467","16287","1665754","632942","1172713","0","1172713","469760","985437","1231917","2217354","","","","-109340","0","-109340","10210117","1594191","11804308","2613796","23400","2637196","","","","","","","12823913","1617591","14441504","4535741","1073194","","","5608935","500607","","","","","","","B"
"199999","8190401","1138784","9329185","6813808","2303","611272","613575","277985","3357","552419","555776","338708","2255523","0","2255523","1480208","1115023","176978","1292001","866916","2989699","381452","3371151","2386444","3277597","26185","3303782","1433299","316370","2349527","2665897","0","0","0","0","0","0","18150273","5236617","23386890","4623374","4130","4627504","0","0","0","0","0","0","22773647","5240747","28014394","13597368","2809334","0","0","16406702","836387","680775","0","0","0","0","0","B"
"200004","20800292","724265","21524557","15891710","814146","223787","1037933","604513","3731165","2223123","5954288","3014909","5141490","135353","5276843","3055142","1961813","13998","1975811","1253348","5856574","103460","5960034","3799811","5630951","0","5630951","2627399","955127","3072982","4028109","14700","0","14700","0","0","0","44906258","6496968","51403226","11934546","0","11934546","0","0","0","1161685","0","1161685","58002489","6496968","64499457","30246832","5975495","0","0","36222327","2039470","870376","0","0","0","0","0","B"
"200022","4047199","1355271","5402470","3532422","","","","","","","","","549552","74935","624487","324280","484745","10289","495034","264948","722665","39021","761686","385719","887887","","887887","212515","","1382981","1382981","89700","","89700","","","","6781748","2862497","9644245","1121436","13478","1134914","","","","","","","7903184","2875975","10779159","4719884","1173984","","","5893868","302693","45700","","","","","","B"
"200059","3802698","97138","3899836","2935863","","","","","","","","","642005","","642005","372071","520771","147422","668193","367373","823294","44123","867417","419103","1298572","","1298572","491099","53311","1498356","1551667","195084","","195084","","","","7335735","1787039","9122774","1438132","","1438132","","","","","","","8773867","1787039","10560906","4585509","1283943","0","0","5869452","312434","","","","","","","B"
"200086","197782","246312","444094","297814","","12266","12266","4401","","112655","112655","81223","36944","59937","96881","50203","43870","110964","154834","91976","270841","173340","444181","214465","132391","4214","136605","","18316","423057","441373","","","","","","","700144","1142745","1842889","","","","","","","","","","700144","1142745","1842889","740082","148016","","","888098","","","","","","","","B"
"200156","1763880","128673","1892553","1345793","","","","","","","","","213269","11264","224533","69205","566973","23538","590511","281694","883880","29171","913051","357000","717833","110289","828122","167217","3113226","849904","3963130","","","","","","","7259061","1152839","8411900","1527631","47473","1575104","","","","","","","8786692","1200312","9987004","2220909","488513","","","2709422","224533","","","","","","","B"
"200192","1101446","573189","1674635","1103651","5613","","5613","0","1780","13067","14847","0","318483","50149","368632","81922","256089","","256089","163531","372883","","372883","201940","496736","","496736","117794","29188","661157","690345","15000","","15000","","","","2597218","1297562","3894780","681186","13970","695156","","","","","","","3278404","1311532","4589936","1668838","467667","","","2136505","84698","97270","","","","","","B"
"200208","4876","376711","381587","250977","","","","","","9753","9753","","41053","195247","236300","99610","51575","116455","168030","113552","18694","119800","138494","85341","30561","28946","59507","7315","365","154523","154888","","","","","","","147124","1001435","1148559","","","","","","","","","","147124","1001435","1148559","556795","111359","","","668154","","","","","","","","B"
